areaType,areaName,areaCode,date,newVaccinesGivenByPublishDate,cumVaccinesGivenByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,2021-04-08,545511,38444540,96242,31903366,449269,6541174
overview,United Kingdom,K02000001,2021-04-07,507926,37899029,99530,31807124,408396,6091905
overview,United Kingdom,K02000001,2021-04-06,272020,37391103,85227,31707594,186793,5683509
overview,United Kingdom,K02000001,2021-04-05,105334,37119083,40744,31622367,64590,5496716
overview,United Kingdom,K02000001,2021-04-04,95763,37013749,48055,31581623,47708,5432126
overview,United Kingdom,K02000001,2021-04-03,286799,36917986,107886,31533568,178913,5384418
overview,United Kingdom,K02000001,2021-04-02,354051,36631187,107420,31425682,246631,5205505
overview,United Kingdom,K02000001,2021-04-01,616234,36277136,170818,31318262,445416,4958874
overview,United Kingdom,K02000001,2021-03-31,627008,35660902,239434,31147444,387574,4513458
overview,United Kingdom,K02000001,2021-03-30,503599,35033894,225917,30908010,277682,4125884
overview,United Kingdom,K02000001,2021-03-29,405039,34530295,236809,30682093,168230,3848202
overview,United Kingdom,K02000001,2021-03-28,441142,34125256,293548,30445284,147594,3679972
overview,United Kingdom,K02000001,2021-03-27,663162,33684114,424301,30151736,238861,3532378
overview,United Kingdom,K02000001,2021-03-26,694959,33020952,411305,29727435,283654,3293517
overview,United Kingdom,K02000001,2021-03-25,559324,32325993,324942,29316130,234382,3009863
overview,United Kingdom,K02000001,2021-03-24,580307,31766669,337665,28991188,242642,2775481
overview,United Kingdom,K02000001,2021-03-23,494805,31186362,325650,28653523,169155,2532839
overview,United Kingdom,K02000001,2021-03-22,412197,30691557,329897,28327873,82300,2363684
overview,United Kingdom,K02000001,2021-03-21,419618,30279360,367006,27997976,52612,2281384
overview,United Kingdom,K02000001,2021-03-20,844285,29859742,752308,27630970,91977,2228772
overview,United Kingdom,K02000001,2021-03-19,740655,29015457,614930,26878662,125725,2136795
overview,United Kingdom,K02000001,2021-03-18,660276,28274802,528260,26263732,132016,2011070
overview,United Kingdom,K02000001,2021-03-17,581855,27614526,462246,25735472,119609,1879054
overview,United Kingdom,K02000001,2021-03-16,529119,27032671,433320,25273226,95799,1759445
overview,United Kingdom,K02000001,2021-03-15,440051,26503552,386685,24839906,53366,1663646
overview,United Kingdom,K02000001,2021-03-14,282381,26063501,257010,24453221,25371,1610280
overview,United Kingdom,K02000001,2021-03-13,564263,25781120,512108,24196211,52155,1584909
overview,United Kingdom,K02000001,2021-03-12,457254,25216857,369578,23684103,87676,1532754
overview,United Kingdom,K02000001,2021-03-11,354372,24759603,260809,23314525,93563,1445078
overview,United Kingdom,K02000001,2021-03-10,341049,24405231,243887,23053716,97162,1351515
overview,United Kingdom,K02000001,2021-03-09,290223,24064182,217301,22809829,72922,1254353
overview,United Kingdom,K02000001,2021-03-08,254061,23773959,215273,22592528,38788,1181431
overview,United Kingdom,K02000001,2021-03-07,184384,23519898,164143,22377255,20241,1142643
overview,United Kingdom,K02000001,2021-03-06,448396,23335514,416834,22213112,31562,1122402
overview,United Kingdom,K02000001,2021-03-05,494235,22887118,437463,21796278,56772,1090840
overview,United Kingdom,K02000001,2021-03-04,446450,22392883,376244,21358815,70206,1034068
overview,United Kingdom,K02000001,2021-03-03,347406,21946433,278956,20982571,68450,963862
overview,United Kingdom,K02000001,2021-03-02,276310,21599027,224996,20703615,51314,895412
overview,United Kingdom,K02000001,2021-03-01,231450,21322717,203168,20478619,28282,844098
overview,United Kingdom,K02000001,2021-02-28,205584,21091267,185900,20275451,19684,815816
overview,United Kingdom,K02000001,2021-02-27,434825,20885683,407503,20089551,27322,796132
overview,United Kingdom,K02000001,2021-02-26,537266,20450858,504493,19682048,32773,768810
overview,United Kingdom,K02000001,2021-02-25,521039,19913592,485720,19177555,35319,736037
overview,United Kingdom,K02000001,2021-02-24,480575,19392553,448962,18691835,31613,700718
overview,United Kingdom,K02000001,2021-02-23,353009,18911978,326692,18242873,26317,669105
overview,United Kingdom,K02000001,2021-02-22,210804,18558969,192341,17916181,18463,642788
overview,United Kingdom,K02000001,2021-02-21,150896,18348165,141719,17723840,9177,624325
overview,United Kingdom,K02000001,2021-02-20,344942,18197269,334679,17582121,10263,615148
overview,United Kingdom,K02000001,2021-02-19,387200,17852327,371906,17247442,15294,604885
overview,United Kingdom,K02000001,2021-02-18,468321,17465127,452454,16875536,15867,589591
overview,United Kingdom,K02000001,2021-02-17,497257,16996806,482110,16423082,15147,573724
overview,United Kingdom,K02000001,2021-02-16,377277,16499549,364865,15940972,12412,558577
overview,United Kingdom,K02000001,2021-02-15,282491,16122272,275956,15576107,6535,546165
overview,United Kingdom,K02000001,2021-02-14,239877,15839781,237962,15300151,1915,539630
overview,United Kingdom,K02000001,2021-02-13,508208,15599904,505362,15062189,2846,537715
overview,United Kingdom,K02000001,2021-02-12,549378,15091696,544603,14556827,4775,534869
overview,United Kingdom,K02000001,2021-02-11,508763,14542318,503116,14012224,5647,530094
overview,United Kingdom,K02000001,2021-02-10,455704,14033555,450810,13509108,4894,524447
overview,United Kingdom,K02000001,2021-02-09,414973,13577851,411812,13058298,3161,519553
overview,United Kingdom,K02000001,2021-02-08,356291,13162878,352480,12646486,3811,516392
overview,United Kingdom,K02000001,2021-02-07,279850,12806587,278988,12294006,862,512581
overview,United Kingdom,K02000001,2021-02-06,551470,12526737,549808,12015018,1662,511719
overview,United Kingdom,K02000001,2021-02-05,498227,11975267,494163,11465210,4064,510057
overview,United Kingdom,K02000001,2021-02-04,484596,11477040,480560,10971047,4036,505993
overview,United Kingdom,K02000001,2021-02-03,472011,10992444,469016,10490487,2995,501957
overview,United Kingdom,K02000001,2021-02-02,376922,10520433,374756,10021471,2166,498962
overview,United Kingdom,K02000001,2021-02-01,352935,10143511,350348,9646715,2587,496796
overview,United Kingdom,K02000001,2021-01-31,322194,9790576,319038,9296367,3156,494209
overview,United Kingdom,K02000001,2021-01-30,609010,9468382,598389,8977329,10621,491053
overview,United Kingdom,K02000001,2021-01-29,489934,8859372,487756,8378940,2178,480432
overview,United Kingdom,K02000001,2021-01-28,416188,8369438,414419,7891184,1769,478254
overview,United Kingdom,K02000001,2021-01-27,314707,7953250,312378,7476765,2329,476485
overview,United Kingdom,K02000001,2021-01-26,312770,7638543,311060,7164387,1710,474156
overview,United Kingdom,K02000001,2021-01-25,281725,7325773,279757,6853327,1968,472446
overview,United Kingdom,K02000001,2021-01-24,221067,7044048,220249,6573570,818,470478
overview,United Kingdom,K02000001,2021-01-23,493013,6822981,491970,6353321,1043,469660
overview,United Kingdom,K02000001,2021-01-22,480069,6329968,478248,5861351,1821,468617
overview,United Kingdom,K02000001,2021-01-21,412615,5849899,409855,5383103,2760,466796
overview,United Kingdom,K02000001,2021-01-20,366919,5437284,363508,4973248,3411,464036
overview,United Kingdom,K02000001,2021-01-19,346922,5070365,343163,4609740,3759,460625
overview,United Kingdom,K02000001,2021-01-18,208641,4723443,204076,4266577,4565,456866
overview,United Kingdom,K02000001,2021-01-17,192346,4514802,190107,4062501,2239,452301
overview,United Kingdom,K02000001,2021-01-16,298751,4322456,296131,3872394,2620,450062
overview,United Kingdom,K02000001,2021-01-15,345525,4023705,341317,3576263,4208,447442
overview,United Kingdom,K02000001,2021-01-14,321951,3678180,316694,3234946,5257,443234
overview,United Kingdom,K02000001,2021-01-13,288688,3356229,278943,2918252,9745,437977
overview,United Kingdom,K02000001,2021-01-12,223726,3067541,207661,2639309,16065,428232
overview,United Kingdom,K02000001,2021-01-11,165844,2843815,145076,2431648,20768,412167
overview,United Kingdom,K02000001,2021-01-10,,2677971,,2286572,,391399
